,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
$portLen,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm
$portRadius,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm
$qubHoleOffset,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm
$qubitCentDist,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm
$qubitHole,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm
$qubSapThick,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm
$qubSapZ,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm
$rodOffset,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm
$rodRad,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm
$sappTand,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08
